,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,Daily_Return,Volatility,Day_of_Week,Day_of_Month,Month,Year,Close',High',Low',Open',Volume',SMA_20',SMA_50',EMA_20',EMA_50',RSI_14',MACD',MACD_Signal',Daily_Return',Volatility',Day_of_Week',Day_of_Month',Month',Year'
2021-03-08,45.739151,46.492024,45.314001,45.588578,25084900.000000,44.502670,44.592484,44.483293,44.593392,59.913116,0.142163,0.018638,0.016736,0.011156,0.000000,8.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-09,45.048290,45.951736,45.012860,45.810020,23082700.000000,44.544300,44.553158,44.537102,44.611231,54.834492,0.166754,0.048262,-0.015104,0.011755,1.000000,9.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-09,,,,,,,,,,,,,,,,,,,45.048283,45.951729,45.012853,45.810012,23082700.000000,44.544302,44.553158,44.537104,44.611232,54.834418,0.166753,0.048262,-0.015105,0.011755,1.000000,9.000000,3.000000,2021.000000
2021-03-10,45.562008,45.730299,44.924284,45.331719,21331600.000000,44.621358,44.517728,44.634712,44.648516,54.472669,0.225100,0.083629,0.011404,0.011903,2.000000,10.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-10,,,,,,,,,,,,,,,,,,,45.562004,45.730295,44.924280,45.331716,21331600.000000,44.621360,44.517729,44.634713,44.648517,54.472569,0.225099,0.083629,0.011404,0.011903,2.000000,10.000000,3.000000,2021.000000
2021-03-11,45.065998,45.553149,45.003997,45.535434,17417700.000000,44.678045,44.459624,44.675787,44.664888,55.209785,0.228679,0.112639,-0.010886,0.012213,3.000000,11.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-11,,,,,,,,,,,,,,,,,,,45.065994,45.553146,45.003993,45.535431,17417700.000000,44.678047,44.459625,44.675788,44.664889,55.209682,0.228679,0.112639,-0.010886,0.012213,3.000000,11.000000,3.000000,2021.000000
2021-03-12,44.976681,45.262474,44.833784,45.182094,17598600.000000,44.699266,44.400266,44.704444,44.677115,51.069907,0.221753,0.134462,-0.001982,0.011853,4.000000,12.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-12,,,,,,,,,,,,,,,,,,,44.976681,45.262474,44.833784,45.182094,17598600.000000,44.699267,44.400266,44.704444,44.677116,51.069933,0.221752,0.134462,-0.001982,0.011853,4.000000,12.000000,3.000000,2021.000000
2021-03-15,,,,,,,,,,,,,,,,,,,45.575066,45.655445,45.074930,45.101722,13411900.000000,44.733135,44.347383,44.787360,44.712330,56.052810,0.261533,0.159876,0.013304,0.012093,0.000000,15.000000,3.000000,2021.000000
2021-03-15,45.575066,45.655445,45.074930,45.101722,13411900.000000,44.733134,44.347383,44.787360,44.712329,56.052742,0.261534,0.159876,0.013304,0.012093,0.000000,15.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-16,45.744759,46.012689,45.584000,45.726896,14214200.000000,44.794086,44.290808,44.878541,44.752816,56.177974,0.303257,0.188553,0.003723,0.011914,1.000000,16.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-16,,,,,,,,,,,,,,,,,,,45.744759,46.012689,45.584000,45.726896,14214200.000000,44.794088,44.290809,44.878541,44.752817,56.177893,0.303257,0.188552,0.003723,0.011914,1.000000,16.000000,3.000000,2021.000000
2021-03-17,45.762611,46.101988,45.682232,45.771541,17502700.000000,44.862132,44.271437,44.962738,44.792416,60.601087,0.333915,0.217625,0.000390,0.011876,2.000000,17.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-17,,,,,,,,,,,,,,,,,,,45.762619,46.101996,45.682240,45.771549,17502700.000000,44.862134,44.271438,44.962739,44.792417,60.601198,0.333915,0.217625,0.000390,0.011876,2.000000,17.000000,3.000000,2021.000000
2021-03-18,45.164234,45.717957,45.092788,45.601856,18007300.000000,44.871916,44.250373,44.981928,44.806997,65.265478,0.306395,0.235379,-0.013076,0.012000,3.000000,18.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-18,,,,,,,,,,,,,,,,,,,45.164234,45.717957,45.092788,45.601856,18007300.000000,44.871917,44.250374,44.981929,44.806998,65.265306,0.306395,0.235379,-0.013076,0.012000,3.000000,18.000000,3.000000,2021.000000
2021-03-19,45.378582,45.619720,44.806993,45.065994,67845700.000000,44.921646,44.263002,45.019705,44.829412,61.323223,0.298441,0.247992,0.004746,0.011616,4.000000,19.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-19,,,,,,,,,,,,,,,,,,,45.378578,45.619716,44.806989,45.065990,67845700.000000,44.921646,44.263003,45.019705,44.829413,61.323100,0.298441,0.247991,0.004746,0.011616,4.000000,19.000000,3.000000,2021.000000
2021-03-22,45.548271,45.619721,44.940961,44.940961,17911400.000000,44.956831,44.288945,45.070044,44.857603,61.267843,0.302345,0.258862,0.003739,0.011432,0.000000,22.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-22,,,,,,,,,,,,,,,,,,,45.548271,45.619721,44.940961,44.940961,17911400.000000,44.956832,44.288946,45.070045,44.857604,61.267748,0.302345,0.258862,0.003739,0.011432,0.000000,22.000000,3.000000,2021.000000
2021-03-23,45.896580,46.128789,45.396444,45.539340,16936700.000000,45.013418,44.302013,45.148762,44.898347,64.939608,0.329744,0.273039,0.007647,0.011513,1.000000,23.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-23,,,,,,,,,,,,,,,,,,,45.896584,46.128792,45.396448,45.539344,16936700.000000,45.013419,44.302014,45.148763,44.898348,64.939570,0.329744,0.273038,0.007647,0.011513,1.000000,23.000000,3.000000,2021.000000
2021-03-24,,,,,,,,,,,,,,,,,,,46.012676,46.343123,45.682229,45.700088,14997400.000000,45.068282,44.332994,45.231040,44.942047,66.092045,0.356713,0.289773,0.002529,0.011506,2.000000,24.000000,3.000000,2021.000000
2021-03-24,46.012684,46.343131,45.682237,45.700096,14997400.000000,45.068281,44.332993,45.231040,44.942047,66.092159,0.356714,0.289774,0.002530,0.011506,2.000000,24.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
